Yahoo Symbol,Company Name,BSE Code
501833.BO,Chowgule Steamships Ltd,501833
501848.BO,Global Offshore Services Ltd,501848
501945.BO,Dhenu Buildcon Infra Ltd,501945
502015.BO,ASI Industries Ltd,502015
SAGCEM.NS,Sagar Cements Ltd,502090
502133.BO,Hemadri Cements Ltd,502133
DECCANCE.NS,Deccan Cements Ltd,502137
MANGLMCEM.NS,Mangalam Cement Ltd,502157
NCLIND.NS,NCL Industries Ltd,502168
SAURASHCEM.NS,Saurashtra Cement Ltd,502175
502180.BO,Shree Digvijay Cement Company Ltd,502180
BORORENEW.NS,Borosil Renewables Ltd,502219
502250.BO,Lerthai Finance Ltd,502250
502281.BO,Triveni Glass Ltd,502281
502294.BO,Nilachal Refractories Ltd,502294
ANDHRAPAP.NS,Andhra Paper Ltd,502330
BALKRISIND.NS,Balkrishna Industries Ltd,502355
ORIENTPPR.NS,Orient Paper & Industries Ltd,502420
502445.BO,Citadel Realty and Developers Ltd,502445
502448.BO,Rollatainers Ltd,502448
SESHAPAPER.NS,Seshasayee Paper and Boards Ltd,502450
502587.BO,Nath Industries Ltd,502587
502589.BO,Vapi Enterprise Ltd,502589
DCM.NS,DCM Ltd,502820
502850.BO,Gaekwar Mills Ltd,502850
502865.BO,Forbes & Company Ltd,502865
502873.BO,HP Cotton Textile Mills Ltd,502873
502893.BO,United Interactive Ltd,502893
502901.BO,Jamshri Realty Ltd,502901
502933.BO,Katare Spinning Mills Ltd,502933
502937.BO,Kesoram Industries Ltd,502937
502958.BO,Lakshmi Mills Company Ltd,502958
VTL.NS,Vardhman Textiles Ltd,502986
PENINLAND.NS,Peninsula Land Ltd,503031
503092.BO,Pasupati Spinning & Weaving Mills Ltd,503092
PHOENIXLTD.NS,The Phoenix Mills Ltd,503100
MARATHON.NS,Marathon Nextgen Realty Ltd,503101
503127.BO,Raja Bahadur International Ltd,503127
RELCHEMQ.NS,Reliance Chemotex Industries Ltd,503162
503169.BO,Ruby Mills Ltd,503169
503229.BO,Simplex Realty Ltd,503229
SWANENERGY.NS,Swan Energy Ltd,503310
503349.BO,Victoria Mills Ltd,503349
503622.BO,SV Trading & Agencies Ltd,503622
503624.BO,Svaraj Trading & Agencies Ltd,503624
503626.BO,Kshitij Investments Ltd,503626
503635.BO,Shree Salasar Investments Ltd,503635
503639.BO,Indsoya Ltd,503639
503641.BO,Zodiac Ventures Ltd,503641
503657.BO,Veer Energy & Infrastructure Ltd,503657
503663.BO,Tilak Ventures Ltd,503663
503671.BO,Unijolly Investments Company Ltd,503671
503675.BO,Wagend Infra Venture Ltd,503675
503681.BO,EL CID Investments Ltd,503681
503685.BO,Mediaone Global Entertainment Ltd,503685
503689.BO,Healthy Investments Ltd,503689
503696.BO,Shreenath Investment Company Ltd,503696
BANSWRAS.NS,Banswara Syntex Ltd,503722
503772.BO,Modella Woollens Ltd,503772
503776.BO,Modipon Ltd,503776
503804.BO,Shri Dinesh Mills Ltd,503804
SRF.NS,SRF Ltd,503806
SIYSIL.NS,Siyaram Silk Mills Ltd,503811
503816.BO,Swadeshi Polytex Ltd,503816
503837.BO,Shree Rajasthan Syntex Ltd,503837
503863.BO,Shree Manufacturing Company Ltd,503863
503893.BO,Satyam Silk Mills Ltd,503893
BBL.NS,Bharat Bijlee Ltd,503960
504000.BO,Elpro International Ltd,504000
504028.BO,GEE Ltd,504028
HIRECT.NS,Hind Rectifiers Ltd,504036
NIPPOBATRY.NS,Indo National Ltd,504058
ZENSARTECH.NS,Zensar Technologies Ltd,504067
504076.BO,Jyoti Ltd,504076
504080.BO,JSL Industries Ltd,504080
504084.BO,Kaycee Industries Ltd,504084
504092.BO,Indokem Ltd,504092
504093.BO,Panasonic Energy India Company Ltd,504093
NELCO.NS,Nelco Ltd,504112
504132.BO,Permanent Magnets Ltd,504132
504176.BO,High Energy Batteries India Ltd,504176
504180.BO,Standard Batteries Ltd,504180
UNIVCABLES.NS,Universal Cables Ltd,504212
504220.BO,W. S. Industries (India) Ltd,504220
504240.BO,Delton Cables Ltd,504240
504258.BO,Lakshmi Electrical Control Systems Ltd,504258
504273.BO,Modulex Construction Technologies Ltd,504273
504286.BO,Delta Manufacturing Ltd,504286
504340.BO,Longspur International Ventures Ltd,504340
504341.BO,Ravindra Energy Ltd,504341
504346.BO,RRP Semiconductor Ltd,504346
504351.BO,Empower India Ltd,504351
504356.BO,Multipurpose Trading & Agencies Ltd,504356
504365.BO,Ridhi Synthetics Ltd,504365
504369.BO,Grandma Trading & Agencies Ltd,504369
504370.BO,Ardi Investments & Trading Company Ltd,504370
504375.BO,Softbpo Global Services Ltd,504375
504378.BO,Nyssa Corporation Ltd,504378
504380.BO,Flomic Global Logistics Ltd,504380
504392.BO,Krishna Ventures Ltd,504392
504605.BO,Uni Abex Alloy Products Ltd,504605
SARDAEN.NS,Sarda Energy & Minerals Ltd,504614
504646.BO,Bhagwati Autocast Ltd,504646
504648.BO,Bombay Wire Ropes Ltd,504648
504731.BO,Azad India Mobility Ltd,504731
INDIANHUME.NS,Indian Hume Pipe Company Ltd,504741
504746.BO,Indian Link Chain Manufacturers Ltd,504746
504786.BO,Investment & Precision Castings Ltd,504786
504810.BO,Informed Technologies India Ltd,504810
504840.BO,Kaira Can Company Ltd,504840
ORIENTCER.NS,Orient Ceratech Ltd,504879
504882.BO,National Standard (India) Ltd,504882
504903.BO,Rathi Steel & Power Ltd,504903
504908.BO,Duncan Engineering Ltd,504908
SANDUMA.NS,Sandur Manganese & Iron Ores Ltd,504918
504959.BO,Stovec Industries Ltd,504959
CHOLAHLDNG.NS,Cholamandalam Financial Holdings Ltd,504973
504988.BO,Welcast Steels Ltd,504988
504998.BO,Western Ministil Ltd,504998
AUTOAXLES.NS,Automotive Axles Ltd,505010
505029.BO,Atlas Cycles (Haryana) Ltd,505029
505032.BO,Automobile Products of India Ltd,505032
505036.BO,Automobile Corporation of Goa Ltd,505036
505075.BO,Setco Automotive Ltd,505075
505100.BO,India Radiators Ltd,505100
TALBROAUTO.NS,Talbros Automotive Components Ltd,505160
505163.BO,ZF Steering Gear India Ltd,505163
SMLISUZU.NS,SML Isuzu Ltd,505192
505196.BO,TIL Ltd,505196
EICHERMOT.NS,Eicher Motors Ltd,505200
505212.BO,Jainex Aamcol Ltd,505212
505216.BO,Alfred Herbert India Ltd,505216
505232.BO,Veljan Denison Ltd,505232
DYNAMATECH.NS,Dynamatic Technologies Ltd,505242
505250.BO,G. G. Dandekar Properties Ltd,505250
GMMPFAUDLR.NS,GMM Pfaudler Ltd,505255
KIRLPNU.NS,Kirloskar Pneumatic Company Ltd,505283
505285.BO,Tulive Developers Ltd,505285
505299.BO,KPT Industries Ltd,505299
505302.BO,Lakshmi Engineering And Warehousing Ltd,505302
505324.BO,Manugraph India Ltd,505324
505336.BO,Harshil Agrotech Ltd,505336
505343.BO,Monotype India Ltd,505343
NESCO.NS,NESCO Ltd,505355
505358.BO,Integra Engineering India Ltd,505358
505368.BO,Semac Construction Ltd,505368
TEXINFRA.NS,Texmaco Infrastructure & Holdings Ltd,505400
WENDT.NS,Wendt (India) Ltd,505412
505502.BO,PS IT Infrastructure & Services Ltd,505502
505504.BO,GHV Infra Projects Ltd,505504
RESPONIND.NS,Responsive Industries Ltd,505509
505515.BO,Shyamkamal Investments Ltd,505515
505520.BO,Hem Holdings & Trading Ltd,505520
505523.BO,Maharashtra Corporation Ltd,505523
DOLATALGO.NS,Dolat Algotech Ltd,505526
WESTLIFE.NS,Westlife Foodworld Ltd,505533
ZEEL.NS,Zee Entertainment Enterprises Ltd,505537
505585.BO,Kovalam Investment & Trading Company Ltd,505585
SVPGLOB.NS,SVP Global Textiles Ltd,505590
505594.BO,Multiplus Holdings Ltd,505594
505650.BO,Skyline Millars Ltd,505650
505681.BO,Bimetal Bearings Ltd,505681
505685.BO,Taparia Tools Ltd,505685
BHARATGEAR.NS,Bharat Gears Ltd,505688
505690.BO,Brady & Morris Engineering Company Ltd,505690
505693.BO,La Tim Metal & Industries Ltd,505693
ELECON.NS,Elecon Engineering Company Ltd,505700
505710.BO,Grauer & Weil India Ltd,505710
505712.BO,Him Teknoforge Ltd,505712
GABRIEL.NS,Gabriel India Ltd,505714
505720.BO,Hercules Hoists Ltd,505720
505725.BO,Algoquant Fintech Ltd,505725
IFBIND.NS,IFB Industries Ltd,505726
505729.BO,Singer India Ltd,505729
505737.BO,International Combustion India Ltd,505737
FMGOETZE.NS,Federal-Mogul Goetze (India) Ltd,505744
505750.BO,Josts Engineering Company Ltd,505750
SCHAEFFLER.NS,Schaeffler India Ltd,505790
RANEHOLDIN.NS,Rane Holdings Ltd,505800
505807.BO,Rolcon Engineering Company Ltd,505807
505827.BO,SNL Bearings Ltd,505827
505840.BO,Jaipan Industries Ltd,505840
MANCREDIT.NS,Mangal Credit and Fincorp Ltd,505850
TRF.NS,TRF Ltd,505854
505872.BO,WPIL Ltd,505872
505890.BO,Kennametal India Ltd,505890
505893.BO,Hindustan Hardy Ltd,505893
505978.BO,Triton Valves Ltd,505978
506003.BO,Sudal Industries Ltd,506003
PRAKASH.NS,Prakash Industries Ltd,506022
506024.BO,Hariyana Ventures Ltd,506024
506042.BO,Prabhu Steel Industries Ltd,506042
506074.BO,Arshiya Ltd,506074
GRINDWELL.NS,Grindwell Norton Ltd,506076
506079.BO,Lakshmi Precision Screws Ltd,506079
506105.BO,Stanrose Mafatlal Investments & Finance Ltd,506105
GENESYS.NS,Genesys International Corporation Ltd,506109
506120.BO,Alna Trading & Exports Ltd,506120
506128.BO,Parnax Lab Ltd,506128
506134.BO,Gourmet Gateway India Ltd,506134
VIVIDHA.NS,Visagar Polytex Ltd,506146
506161.BO,Ishwarshakti Holdings & Traders Ltd,506161
506162.BO,Terraform Magnum Ltd,506162
506166.BO,Apis India Ltd,506166
506178.BO,Velox Shipping and Logistics Ltd,506178
